article_id,url,title,short_description,author,category,tags,published_at,content
1899e1198612415b58fafd194860f144fad57526,https://nld.com.vn/yeu-cau-chung-cu-dong-dan-nhat-ha-noi-phai-trong-giu-xe-dien-196251204100156831.htm,,,Nguyễn Hưởng,thoi-su,[],,"UBND phường Hoàng Liệt (Hà Nội) vừa có văn bản gửi Doanh nghiệp tư nhân số 1 tỉnh Điện Biên; Chi nhánh dịch vụ nhà ở Linh Đàm liên quan đến việc tiếp nhận xe điện tại tổ hợp chung cư HH Linh Đàm.
Theo UBND phường Hoàng Liệt nhận được phản ánh của một số cư dân tại tổ hợp chung cư HH Linh Đàm về việc Chi nhánh dịch vụ nhà ở Linh Đàm thông báo tạm dừng tiếp nhận trông giữ mới xe máy điện, xe đạp điện từ ngày 1-12-2025 và ngừng hoàn toàn việc nhận trông giữ xe điện từ ngày 1-2-2026 tại tầng hầm các tòa nhà.
Về việc này, UBND phường Hoàng Liệt cho biết HĐND TP Hà Nội đã ban hành Nghị quyết số 57/2025/NQ-HĐND ngày 26-11-2025 Quy định thực hiện vùng phát thải thấp trên địa bàn TP Hà Nội (Thực hiện điểm a khoản 2 Điều 28 Luật Thủ đô số 39/2024/QH15).
Theo Nghị quyết, TP Hà Nội định hướng về biện pháp phát triển hạ tầng giao thông khuyến khích sử dụng các loại phương tiện giao thông sử dụng năng lượng sạch, năng lượng xanh, thân thiện môi trường được quy định tại Khoản 2, Khoản 3 Điều 9 Thông tư số 53/2024/TT-BGTVT của Bộ Giao thông Vận tải (như xe điện thuần điện PEV hoặc BEV, xe điện dùng pin nhiên liệu thuần tuý PFCEV hoặc PCEV, xe sử dụng nhiên liệu hy-drô…). Theo đó, thời gian thực hiện Nghị quyết từ nay đến giai đoạn 2026-2030, số lượng xe điện của cư dân sẽ tăng lên đáng kể để thay thế dần xe chạy xăng, dầu.
Để thực hiện nghiêm Nghị quyết số 57/2025/NQ-HĐND ngày 26-11-2025 của HĐND TP Hà Nội và Luật Nhà ở năm 2023, UBND phường đề nghị Doanh nghiệp tư nhân số 1 tỉnh Điện Biên (chủ đầu tư tổ hợp chung cư HH) và Chi nhánh dịch vụ nhà ở Linh Đàm (đơn vị đại diện chủ đầu tư thực hiện quản lý vận hành nhà chung cư) không được từ chối trông giữ xe điện theo quy định tại khoản 1 và điểm a khoản 2 Điều 144 Luật Nhà ở năm 2023 (trừ trường hợp có yêu cầu chính thức của cơ quan có thẩm quyền).
Bên cạnh đó, lập phương án giải quyết để bố trí địa điểm trông giữ phương tiện xe điện của cư dân theo lộ trình tại Nghị quyết số 57/2025/NQ-HĐND ngày 26-11-2025 của HĐND TP Hà Nội. Tăng cường lực lượng tuần tra, kịp thời phát hiện, xử lý các tình huống, sự cố phát sinh trong quá trình trông giữ phương tiện tại tầng hầm tổ hợp chung cư HH.
Thường xuyên kiểm tra, bảo dưỡng hệ thống, trang thiết bị phòng cháy, chữa cháy, cứu nạn, cứu hộ để đảm bảo hoạt động ổn định, đúng chức năng thiết kế khi có sự cố xảy ra.
UBND phường Hoàng Liệt đề nghị Doanh nghiệp tư nhân số 1 tỉnh Điện Biên và Chi nhánh dịch vụ nhà ở Linh Đàm nghiêm túc thực hiện. Trường hợp Doanh nghiệp và Chi nhánh cố tình thực hiện không tiếp nhận xe đạp điện, xe máy điện, xe điện để xảy ra mất an ninh trật tự thì Doanh nghiệp và Chi nhánh hoàn toàn chịu trách nhiệm trước pháp luật.
Trước đó, từ tháng 12-2025, Ban quản lý chung cư HH Linh Đàm tạm dừng tiếp nhận đăng ký mới đối với xe máy điện và xe đạp điện, các phương tiện đã gửi trước thời điểm này vẫn được phục vụ. Tiến tới từ ngày 1-2-2026 sẽ ngừng hoàn toàn việc trông giữ xe điện tại tầng hầm."
3cc2b1872788e81773a90b4bd8722f883b1863c8,https://nld.com.vn/canh-bao-khan-ho-song-quao-tang-xa-nguoi-dan-vung-ha-du-can-de-phong-ngap-lut-196251204101119019.htm,,,Châu Tỉnh,thoi-su,[],,"Sáng 4-12, do lượng nước thượng nguồn đổ về các hồ chứa Sông Quao, Sông Luỹ, Sông Lòng Sông… của tỉnh Lâm Đồng (khu vực Bình Thuận cũ) tăng mạnh, các hồ đã điều chỉnh tăng lưu lượng xả tràn nhằm bảo đảm an toàn công trình và chủ động ứng phó với lũ.
Trong đó, đáng chú ý là thông tin xả lũ hồ Sông Quao thuộc hệ thống thủy lợi quản lý bởi Công ty TNHH MTV Khai thác Công trình Thủy lợi Bình Thuận.
Theo thông báo, từ 6 giờ sáng nay, hồ Sông Quao sẽ tăng xả điều tiết, với lưu lượng dự kiến từ 350 đến 500 m³/giây, tùy diễn biến mưa và lượng nước về hồ.
Trước đó, vào rạng sáng cùng ngày, mực nước hồ Sông Quao đã lên tới cao trình +90,10 m — vượt mức bình thường và đang tiếp tục dâng gần mức cảnh báo. Lưu lượng xả hiện tại vào khoảng 311 m³/giây, đồng thời lượng nước đổ về từ thượng nguồn vẫn giữ ở mức cao, đặt hồ dưới áp lực lớn.
Việc điều chỉnh xả tràn diễn ra trong bối cảnh nhiều hồ chứa khác ở khu vực tỉnh Bình Thuận cũ cũng được yêu cầu tăng lưu lượng xả nhằm tạo dung tích đón lũ.
Hiện tại khu vực thượng hồ Sông Lũy (khu vực huyện Bắc Bình, tỉnh Bình Thuận cũ) đang mưa lớn. Ban Quản lý hồ Sông Lũy thông báo do nước trên nguồn đổ về các đập, sông lớn và hồ Sông Lũy có khả năng sẽ tăng thêm lưu lượng qua tràn từ 100m³ lên 150m³ và tăng thêm phụ thuộc lượng nước đến hồ.
Tại hồ Lòng Sông (khu vực huyện Tuy Phong, tỉnh Bình Thuận cũ) tăng lưu lượng nước xả qua tràn hồ bắt đầu vào lúc 4 giờ 30 phút cùng ngày, với lưu lượng 1.200 m³/s và dự kiến sẽ tiếp tục tăng phụ thuộc vào lượng nước đến hồ.
Các cơ quan quản lý đang theo dõi chặt chẽ diễn biến khí tượng, cập nhật lưu lượng về hồ để điều chỉnh hợp lý, đồng thời giữ trực 24/24 tại các công trình trọng điểm.
Với quyết định xả lũ từ sáng nay, nguy cơ ngập lụt tại hạ du hồ, bao gồm các địa bàn như các xã, phường dưới vùng thấp, là rất hiện hữu.
Các phường, xã vùng hạ du đập hồ chứa nước Sông Quao (dọc Sông Cái) và các cửa biển, bao gồm: Hàm Thuận Bắc, Hàm Thuận, Hàm Liêm, Hàm Thắng, Phú Thủy được khuyến cáo chủ động phương an an toàn để tránh lũ.
Trước đó, khi hồ Sông Quao xả lũ vào cuối tháng 10, nhiều hộ gia đình tại phường Hàm Thắng bị ngập nặng, thiệt hại tài sản, có hộ gửi đơn yêu cầu bồi thường do nước dâng rất nhanh, gây hư hỏng nhà cửa, đồ đạc và thiết bị gia đình.
Trước tình hình hiện nay, chính quyền địa phương và đơn vị quản lý hồ yêu cầu người dân khẩn trương di dời người già, trẻ em, vật nuôi — cùng đồ đạc, tài sản, máy móc quan trọng đến nơi cao ráo hoặc phòng tránh an toàn.
Việc đi lại qua khu vực suối, kênh, lòng sông cần được tạm dừng; phương tiện nên tránh di chuyển khi nước lũ xả với lưu lượng lớn.
Các hộ dân cũng cần theo dõi sát sao thông báo từ chính quyền; nếu được yêu cầu sơ tán, di chuyển cần thực hiện ngay để bảo vệ tính mạng và tài sản.
Trước đó, nước lũ kết hợp mưa lớn từ tối 3-2 khiến nhiều khu vực gần ngã ba Gộp thuộc xã Hồng Sơn (huyện Hàm Thuận Bắc cũ), bị ngập nặng.
Hàng chục hộ dân được lực lượng chức năng đưa đi sơ tán khi nước dâng quá nửa căn nhà."
a10defbb3aeafbaf5deffbfc5bbe371b737a9f17,https://nld.com.vn/xon-xao-clip-2-phu-nu-keu-goi-ung-ho-dong-bao-bi-lu-lut-mien-trung-nhung-30-ngan-thi-khoi-196251204094514538.htm,,"(NLĐO)- Khi nữ nhân viên quán đồ uống trên phố Hà Nội xin ủng hộ đồng bào bị lũ lụt 30.000 đồng, 2 người phụ nữ lớn tuổi ""chê"" ít và bỏ đi.",Nguyễn Hưởng,thoi-su,[],,"Ngày 4-12, một lãnh đạo UBND phường Cửa Nam (Hà Nội) cho biết cơ quan này đang phối hợp với lực lượng chức năng xác minh clip ""chê tiền ủng hộ đồng bào bị lũ lụt"" lan truyền trên mạng xã hội.
Trước đó, mạng xã hội chia sẻ đoạn video ghi lại hình ảnh 2 phụ nữ lớn tuổi tới quán đồ uống trên phố Ngô Quyền (phường Cửa Nam) kêu gọi ủng hộ đồng bào bị lũ lụt.
Trong clip một nữ nhân viên cho rằng họ đã ủng hộ qua Mặt trận Tổ quốc. Tuy nhiên, người phụ nữ không đồng ý và nhấn mạnh: ""Tất cả cửa hàng trên địa bàn của chúng cô là cô sẽ đi thu"", và ""tất cả người bán hàng ở phố này đều ủng hộ hết"".
Mặc dù cô gái cố gắng giải thích đã ủng hộ bằng hình thức khác nhưng người phụ nữ vẫn kiên quyết ""các cháu cần ủng hộ tiền trên địa bàn tổ dân phố"".
Trước đề nghị của 2 phụ nữ, cô gái tới quầy lấy tiền và xin ủng hộ 30.000 đồng do quán không còn tiền lẻ và bán hàng khó khăn. Nghe đến số tiền, một phụ nữ lớn tiếng: ""30.000 thì khỏi, ai nhận 30.000"".
Sau vài phút, 2 người phụ nữ đứng dậy bỏ đi và cho biết ""gọi công an ra"".
Đoạn video được chia sẻ nhận được nhiều ý kiến của cộng đồng mạng. Nhiều người cho rằng việc hỗ trợ đồng bào vùng thiên tai là nghĩa cử đáng trân trọng, nhưng làm từ thiện phải xuất phát từ tấm lòng, không thể ép buộc hay áp đặt mức đóng góp tối thiểu."
2b3bc1e3ffe8bbece257d7c1f213fed0556bf885,https://nld.com.vn/bao-so-16-sap-xuat-hien-du-bao-dien-bien-phuc-tap-huong-vao-khu-vuc-nao-cua-nuoc-ta-196251204101841358.htm,,,Thùy Linh,thoi-su,[],,"Sáng ngày 4-12, Bộ Nông nghiệp và Môi trường tổ chức họp báo thường kỳ. Ông Hoàng Đức Cường, Phó Cục trưởng Cục Khí tượng thủy văn, dự báo, từ tháng 12-2025 đến tháng 2-2026, ENSO có khả năng cao sẽ tiếp tục duy trì trạng thái La Nina, sau đó từ tháng 3 đến tháng 5-2026, ENSO có khả năng quay trở lại trạng thái trung tính.
Trong tháng 12-2025, trên khu vực Biển Đông có khả năng xuất hiện từ 1-2 cơn bão/áp thấp nhiệt đới. Từ tháng 1 đến tháng 5-2026, ít có khả năng xuất hiện bão/áp thấp nhiệt đới trên khu vực Biển Đông.
Đáng lo ngại, ngày 3-12, ở vùng biển phía Đông của khu vực miền Trung Philippines đang tồn tại một áp thấp nhiệt đới có vị trí ở vào khoảng 14 độ Vĩ Bắc, 135 độ Kinh Đông, di chuyển chậm theo hướng Bắc Tây Bắc.
Dự báo, khoảng ngày 6 đến 7-12, áp thấp nhiệt đới này có khả năng vượt qua khu vực miền Trung của Philippines và đi vào Biển Đông, có khả năng mạnh lên thành bão (cơn bão số 16).
Bão số 16 dự báo diễn biến phức tạp
Sau đó, bão số 16 dự báo hoạt động phức tạp trên Biển Đông do có ảnh hưởng của không khí lạnh, dự báo khả năng ảnh hưởng trực tiếp đến đất liền của khu vực Trung và Nam Trung Bộ, gây ra một đợt mưa vừa, mưa to ở các tỉnh từ TP  Huế trở vào đến khu vực Khánh Hòa.
Trong tháng 12-2025, Phó Cục trưởng Cục Khí tượng thủy văn thông tin ở khu vực Trung và Nam Trung Bộ có khả năng xuất hiện từ 1-2 đợt mưa vừa, mưa to trên diện rộng, trong đó lượng mưa ở khu vực từ Nam Quảng Trị trở vào đến khu vực phía Bắc của duyên hải Nam Trung Bộ có xu hướng cao hơn so với trung bình nhiều năm, cần đề phòng nguy cơ xảy ra lũ quét và trượt lở đất.
Trong tháng 12-2025, không khí lạnh tiếp tục có xu hướng gia tăng về tần suất, cường độ và có thể xuất hiện tình trạng rét đậm, rét hại ở miền Bắc nhưng tập trung tại khu vực vùng núi phía Bắc. Không khí lạnh tiếp tục hoạt động mạnh trong các tháng 1 và 2 năm 2026, gây ra các đợt rét đậm, rét hại.
Khu vực Nam Bộ có khả năng xuất hiện nắng nóng từ khoảng đầu tháng 3-2026 ở miền Đông Nam Bộ; sau đó từ cuối tháng 3 đến đầu tháng 4-2026, nắng nóng có xu hướng gia tăng cường độ và mở rộng dần sang khu vực miền Tây Nam Bộ (tương đương với trung bình nhiều năm).
Khu vực Tây Bắc Bộ và khu vực từ Thanh Hóa đến Huế có khả năng xuất hiện nắng nóng từ khoảng tháng 4-2026.
Theo Thứ trưởng Bộ Nông nghiệp và Môi trường Phùng Đức Tiến, tổng thiệt hại kinh tế do thiên tai gây ra ước tính đến ngày 4-12 đã vượt 97.000 tỉ đồng và đã khiến hơn 400 người chết và mất tích.
""Sáng gió bão giông, chiều ngăn nắng lửa. Mùa Đông năm nay dự báo rét đậm, rét hại sẽ ảnh hưởng tới tốc độ sinh trưởng cây trồng, vật nuôi, do vậy cần chủ động các giải pháp ứng phó"" - ông Tiến nhấn mạnh."
ab5d7fcdec3b49ca8fd8b1a434447502ba7e4837,https://nld.com.vn/xac-minh-thong-tin-thay-trung-ca-mau-rao-go-bua-yeu-bua-danh-de-196251203153334641.htm,,"(NLĐO) – Tài khoản ""Thầy Trung Cà Mau"" giới thiệu khả năng ""gỡ bùa yêu, trói duyên"" gây xôn xao mạng xã hội",Vân Du,thoi-su,[],,"Mới đây, tài khoản TikTok có tên ""Thầy Trung
Cà Mau
"" đã đăng tải đoạn clip ngắn kèm theo dòng chữ: ""Công sức thầy đã thành công. Đòi nợ, lm (làm – phóng viên) ăn, bùa dơ, bùa ăn nói, trói duyên"".
Đoạn clip này đã thu hút rất nhiều lượt thích cùng bình luận từ người dùng mạng xã hội. Tài khoản có tên csms169 bình luận ""phép làm ăn bên thầy ok lắm nhe mọi người""; người dùng tên phươnghung19192 chia sẻ: ""thầy ơi con lấy được nợ rồi"" hay ""vợ con bỏ người thứ 3 rồi…"". Tất cả bình luận của người dùng mạng xã hội đều được chủ tài khoản TikTok tên ""Thầy Trung Cà Mau"" bày tỏ biểu cảm thích.
Trên trang cá nhân của mình, tài khoản ""Thầy Trung Cà Mau"" đã đăng dòng thông tin giới thiệu ""Gỡ bùa you (yêu – phóng viên), bùa đánh đề, banh bóng… Nhiều người dùng mạng xã hội cho rằng chủ tài khoản trên là một thanh niên ở xã Tân Lộc, tỉnh Cà Mau.
Trao đổi với phóng viên, một lãnh đạo của Đảng ủy xã Tân Lộc, tỉnh Cà Mau cho hay sẽ chỉ đạo ngành chức năng xác minh thông tin mà mạng xã hội đang lan truyền.
""Nếu chủ tài khoản trên là người ở địa phương mà tuyên truyền mê tín dị đoan thì sẽ xử lý nghiêm theo quy định"" – vị này thông tin thêm."
ee036bec67d1e40de9c64118d294f5eb822fbe3c,https://nld.com.vn/gia-lai-tim-kiem-nam-sinh-vien-mat-lien-lac-gan-1-thang-196251204094232142.htm,,(NLĐO) - Công an đang phối hợp cùng gia đình tìm kiếm nam sinh viên quê Gia Lai mất liên lạc gần 1 tháng qua sau khi thông báo nghỉ học vì nợ nần.,Đức Anh,thoi-su,[],,"Sáng 4-12, Công an xã Ayun, tỉnh Gia Lai cho biết đã phát thông báo truy tìm người mất tích đối với Trần Quang Mạnh (SN 2005; thường trú xã Ayun) sau khi nam sinh này mất liên lạc với gia đình gần 1 tháng qua.
Theo thông tin ban đầu, Mạnh là sinh viên năm 2 Trường Đại học Giao thông Vận tải TP HCM.
Đầu tháng 11-2025, Mạnh gọi về gia đình thông báo do vướng nợ nần nên đã xin bảo lưu kết quả học tập để đi làm kiếm tiền trả nợ. Từ thời điểm đó, gia đình hoàn toàn không thể liên lạc được với Mạnh.
Gia đình đã tìm kiếm qua nhiều kênh, liên hệ bạn bè, các mối quan hệ nhưng vẫn chưa xác định được nơi ở hiện tại của Mạnh. Trước khi mất liên lạc, Mạnh thuê trọ trên đường Nguyễn Tiểu La, phường Diên Hồng, TP HCM.
Công an xã Ayun đề nghị người dân nếu có thông tin liên quan đến Mạnh vui lòng liên hệ đại úy Nguyễn Hoài Linh, Tổ trưởng Tổ Cảnh sát Phòng chống tội phạm Công an xã Ayun (SĐT: 0334.816.789) hoặc ông Trần Quang Hà, bố của Mạnh (SĐT: 0326.093.421)."
b50236f762c8f2e593c2f1c2bf772d881b6d3e87,https://nld.com.vn/xuc-pham-luc-luong-cong-an-mot-nguoi-dan-ong-o-gia-lai-bi-xu-phat-196251204093404996.htm,,"(NLĐO) - Lợi dụng mạng xã hội để đăng bình luận vu khống, xúc phạm lực lượng Công an, một người đàn ông tại Gia Lai bị xử phạt hành chính.",Đức Anh,thoi-su,[],,"Sáng 4-12, Công an xã Ia Pia, tỉnh Gia Lai cho biết vừa ban hành quyết định xử phạt vi phạm hành chính đối với ông L.N.H. (SN 1980; trú thôn 3, xã Chư Prông, tỉnh Gia Lai) về hành vi xuyên tạc, vu khống, xúc phạm uy tín cơ quan, tổ chức và danh dự, nhân phẩm của cá nhân.
Trước đó, ngày 7-11, Công an xã Ia Pia đăng tải trên trang Facebook do đơn vị quản lý một bài viết với nội dung thăm hỏi, động viên người dân sau cơn bão số 13.
Trong khi đa số người dân bình luận hoan nghênh, ủng hộ nghĩa cử này thì tài khoản Facebook ""Ngochung Ngochung"" lại có những bình luận mang tính vu khống, xúc phạm lực lượng Công an.
Đáng chú ý, khi một số người dân lên tiếng phản bác, tài khoản trên tiếp tục đăng nhiều bình luận khác với nội dung xúc phạm, sai sự thật về lực lượng Công an.
Nhận thấy hành vi trên gây ảnh hưởng xấu đến hình ảnh lực lượng Công an và môi trường thông tin lành mạnh trên không gian mạng, Công an xã Ia Pia đã phối hợp Phòng An ninh mạng và phòng chống tội phạm sử dụng công nghệ cao Công an tỉnh Gia Lai tiến hành xác minh.
Kết quả xác định ông L.N.H là người sử dụng tài khoản nói trên để bình luận vào bài viết. Tại cơ quan Công an, anh L.N.H thừa nhận sai phạm và cam kết không tái phạm."
40726206c93b8a242d30113a8b469f98e21bf985,https://nld.com.vn/nguy-co-vi-pham-phap-luat-mat-du-lieu-ca-nhan-khi-truy-cap-tai-lieu-88-trang-196251204094013259.htm,,"NLĐO) - Cơ quan Công an tiếp tục có cảnh báo về nguy cơ vi phạm pháp luật, mất dữ liệu cá nhân khi tìm kiếm, truy cập “Tài liệu 88 trang...”.",Như Quỳnh,thoi-su,[],,"Công an tỉnh Thái Nguyên mới đây đã có văn bản cảnh báo nguy cơ vi phạm pháp luật và mất dữ liệu cá nhân liên quan vụ việc ""Tài liệu 88 trang..."".  Theo Công an tỉnh Thái Nguyên, thời gian gần đây trên mạng xã hội xuất hiện nhiều thông tin liên quan vụ việc gọi là ""Tài liệu 88 trang..."" với nội dung giật gân, gây sốc, ám ảnh, kích động bạo lực.
Cơ quan Công an nhấn mạnh đây là nội dung độc hại, gây hoang mang dư luận và vi phạm pháp luật. Một số đối tượng xấu đã lợi dụng sự tò mò, hiếu kỳ của người dân về vụ việc trên để phát tán đường link giả mạo, chèn virus, mã độc vào file tài liệu, thu thập trái phép thông tin cá nhân, chiếm đoạt quyền điều khiển tài khoản mạng xã hội, ảnh hưởng xấu đến an ninh trật tự trên không gian mạng.
Để đảm bảo an ninh trật tự trên địa bàn, Công an tỉnh Thái Nguyên đề nghị các cơ quan, đơn vị, địa phương chỉ đạo, quán triệt, triển khai đến cán bộ, đảng viên, công chức, viên chức, nhân dân không đăng tải, chia sẻ thông tin liên quan đến vụ việc ""Tài liệu 88 trang..."". Các trường hợp lưu giữ, đăng tải, chia sẻ thông tin chưa được kiểm chứng, thông tin sai sự thật, có nội dung rùng rợn, bạo lực, kích động tội phạm sẽ bị xử phạt vi phạm hành chính hoặc truy cứu trách nhiệm hình sự theo quy định.
Cơ quan Công an cảnh báo không tải hay chia sẻ bất kỳ file, đường link liên quan vụ việc ""Tài liệu 88 trang..."""", không cung cấp mật khẩu, mã OTP, thông tin cá nhân cho các website, đối tượng lạ.
Ngoài ra, khi phát hiện tài khoản tán phát tin đồn, tin giả, tin sai sự thật, đường link độc hại liên quan vụ việc, kịp thời báo cáo cơ quan Công an để xử lý.
Liên quan đến vụ án mạng gây xôn xao dư luận tại Lạng Sơn trong thời gian qua, chiều 3-12, Bộ Công an cho biết Cơ quan Cảnh sát điều tra Công an tỉnh Lạng Sơn đã ra Quyết định khởi tố bị can và Lệnh bắt bị can để tạm giam đối với Đoàn Văn Sáng (SN 1968, trú tại số 195 Nguyễn Phi Khanh, phường Tam Thanh, tỉnh Lạng Sơn) về tội Giết người theo khoản 1, Điều 123 Bộ luật Hình sự năm 2015. Sáng là đối tượng liên quan vụ án giết người xảy ra tại xã Hữu Lũng, tỉnh Lạng Sơn (thuộc huyện Hữu Lũng cũ, tỉnh Lạng Sơn).
Hiện, vụ việc đang được cơ quan công an tiếp tục điều tra, mở rộng."
d393adbf12d1e5e74d1ebdd70a4d7e3fc2e14c6b,https://nld.com.vn/nuoc-lu-ve-nhanh-quoc-lo-1-bi-chia-cat-tai-nga-ba-gop-lam-dong-196251204090745603.htm,,"(NLĐO) - Nước lũ dâng bất thường khiến Quốc lộ 1 qua ngã ba Gộp ngập sâu, giao thông tê liệt, hàng chục hộ dân phải sơ tán",Châu Tỉnh,thoi-su,[],,"Đến rạng sáng 4-12, do mưa lớn kéo dài từ tối 3-12 kết hợp nước lũ từ thượng nguồn đã khiến nhiều khu vực gần ngã ba Gộp, xã Hồng Sơn, tỉnh Lâm Đồng (huyện Hàm Thuận Bắc, tỉnh Bình Thuận cũ) ) bị ngập sâu. Từ khoảng 2 giờ, nước dâng nhanh trên Quốc lộ 1 đoạn km1678 làm giao thông tê liệt, các phương tiện không thể lưu thông qua khu vực.
Ghi nhận trong sáng cùng ngày, dòng nước lũ chảy xiết như sông trên mặt Quốc lộ 1, cuốn trôi nhiều đồ đạc của người dân.
Ngay trong đêm 3-12, một số nhà dân bị ngập đến nửa tường, buộc lực lượng địa phương phải tổ chức di dời khẩn cấp.
Trng sáng 4-12, công an và lực lượng chức năng đã chốt chặn hai đầu khu vực ngập trên Quốc lộ 1 để điều tiết giao thông và tuyệt đối không cho xe cộ qua lại. Người dân địa phương cho biết đây là lần đầu tiên xảy ra tình trạng ngập nghiêm trọng tại ngã ba Gộp.
Để hỗ trợ ứng cứu, các xe tải gầm cao được huy động đưa lực lượng cứu hộ vượt qua điểm ngập. Một mô tô nước cũng được điều đến hiện trường để tiếp cận các khu vực sâu, đưa người dân ra ngoài an toàn.
Nhiều dải phân cách trên Quốc lộ 1 bị dòng chảy mạnh xô lệch. Tại xã Lương Sơn, Quốc lộ 1 tiếp tục bị ngập, các phương tiện phải dừng chờ, tạo áp lực lớn cho công tác điều tiết giao thông.
Cùng thời điểm xảy ra ngập lụt, các hồ thủy lợi lớn ở khu vực tỉnh Bình Thuận cũ tăng lượng xả điều tiết.
Từ 6 giờ ngày 4-12, hồ Sông Quao (huyện Hàm Thuận Bắc cũ) nâng lưu lượng xả từ 350 lên 500 m³/giây tùy theo lượng nước đến hồ. Trước đó, lúc 4 giờ 30, hồ Lòng Sông (huyện Tuy Phong cũ) đã xả tràn với lưu lượng 1.200 m³/giây và dự kiến tiếp tục tăng khi nước từ thượng nguồn đổ về.
Tại khu vực hồ Sông Lũy (huyện Bắc Bình cũ), mưa lớn kéo dài khiến nước đổ về các đập, sông và hồ nhanh, buộc Ban Quản lý hồ Sông Lũy phát thông báo khả năng tăng lưu lượng xả tràn từ 100 lên 150 m³/giây.
Công ty TNHH MTV Khai thác công trình Thủy lợi Bình Thuận cho biết sẽ tiếp tục điều tiết tăng lưu lượng xả của hồ Sông Quao để bảo đảm an toàn công trình khi mưa tại lưu vực vẫn còn lớn."
17e9712faac5723b1e087fa0fc03a6fdb329abb0,https://nld.com.vn/da-nang-de-xuat-trung-uong-ho-tro-4300-ti-dong-de-ung-pho-thien-tai-196251204090543168.htm,,"(NLĐO) - Với đề xuất trên, thành phố Đà Nẵng sẽ đầu tư các công trình hạ tầng phòng chống thiên tai trong đó có các khu tái định cư cho dân",B.Vân,thoi-su,[],,"Trong báo cáo gửi Thủ tướng mới đây về thiệt hại do mưa lũ, UBND TP Đà Nẵng đề xuất Chính phủ, Thủ tướng và các Bộ, ngành Trung ương hỗ trợ kinh phí khắc phục hậu quả thiên tai.
Cụ thể, thành phố đề xuất Trung ương bổ sung nguồn vốn đầu tư công trình hạ tầng phòng, chống thiên tai với tổng số tiền là 4.300 tỉ đồng.
Trong đó, ưu tiên cho một số dự án cấp thiết như: dự án chống sạt lở cấp bờ biển Hội An, tổng chiều dài 5.000m với tổng kinh phí 1.500 tỉ đồng; dự án khắc phục xói lở khẩn cấp bờ biển tại thôn Trung Phường, xã Duy Nghĩa, với chiều dài khoảng 1km, kinh phí dự kiến 200 tỉ đồng; hỗ trợ kinh phí thực hiện khắc phục khẩn cấp một số đoạn sạt lở nặng trong lưu vực sông Vu Gia – Thu Bồn với tổng kinh phí 800 tỉ.
Ngoài ra, thành phố cũng dự tính đầu tư xây dựng các công trình hạ tầng thiết yếu, các khu tái định cư tập trung để bố trí, sắp xếp dân cư ra khỏi vùng thiên tai.
Ở khu vực đồng bằng, trung du, thành phố dự kiến xây dựng 94 khu tái định cư cho khoảng 1.665 hộ, với tổng kinh phí 1.200 tỉ đồng. Ở khu vực miền núi sẽ xây dựng 52 khu tái định cư cho khoảng 1.682 hộ, với tổng kinh phí 600 tỉ đồng.
Theo báo cáo của UBND TP Đà Nẵng, đợt mưa lũ diễn ra trên địa bàn từ cuối tháng 10 đến đầu tháng 11 đã gây ra thiệt hại nặng nề, ước tính khoảng 1.300 tỉ đồng.
Trong đó có 78 nhà bị sập hoàn toàn, hơn 540 nhà hư hỏng. Tại phường Hội An Tây, Hội An Đông xảy ra tình trạng sạt lở bờ biển; bờ kè An Lương ở xã Duy Nghĩa sạt lở 4 vị trí khoảng 75m. Nhiều tuyến giao thông huyết mạch ở khu vực miền núi bị hư hỏng nặng..."
